Parish,Sestiere
S. Nicola,Dorsoduro
Angelo Rafael,Dorsoduro
S. Basilio,Dorsoduro
S. Margherita,Dorsoduro
S. Pantalon,Dorsoduro
S. Barnaba,Dorsoduro
S. Trovaso,Dorsoduro
S. Agnese,Dorsoduro
S. Vio,Dorsoduro
S. Gregorio,Dorsoduro
S. Eufemia,Dorsoduro
S. Polo,S. Polo
S. Tomà,S. Polo
S. Stin,S. Polo
S. Agostin,S. Polo
S. Boldo,S. Polo
S. Aponal,S. Polo
S. Silvestro,S. Polo
S. Mattio,S. Polo
S. Giovanni di Rialto,S. Polo
S. Pietro di Castello,Castello
S. Biagio,Castello
S. Martino,Castello
S. Trinità,Castello
S. Giustina,Castello
S. Giovanni Battista in Bragora,Castello
S. Antonino,Castello
S. Provolo,Castello
S. Severo,Castello
S. Giovanni Novo,Castello
S. Marina,Castello
S. Maria Formosa,Castello
S. Lio,Castello
S. Maria Elisabetta di Lido,Castello
S. Marco,S. Marco
S. Basso,S. Marco
S. Ziminian,S. Marco
S. Moisé,S. Marco
S. Zulian,S. Marco
S. Bartolomeo,S. Marco
S. Salvador,S. Marco
S. Luca,S. Marco
S. Beneto,S. Marco
S. Paternian,S. Marco
S. Fantin,S. Marco
S. Maria Zobenigo,S. Marco
S. Maurizio,S. Marco
S. Angelo,S. Marco
S. Vidal,S. Marco
S. Samuele,S. Marco
S. Geremia,Cannaregio
S. Leonardo,Cannaregio
S. Marcuola,Cannaregio
S. Maria Maddalena,Cannaregio
S. Fosca,Cannaregio
S. Felice,Cannaregio
S. Sofia,Cannaregio
S. Apostoli,Cannaregio
S. Canziano,Cannaregio
S. Maria Nova,Cannaregio
S. Giovanni Crisostomo,Cannaregio
S. Croce,S. Croce
S. Lucia,S. Croce
S. Simon Grande,S. Croce
S. Simeone Piccolo,S. Croce
S. Giovanni Degolà,S. Croce
S. Giacomo dell Orio,S. Croce
S. Stae,S. Croce
S. Maria Mater Domini,S. Croce
S. Cassan,S. Croce
